steps_at	steps	user_id	day	dow
1409831999.9995	887.0	0	43	3
1409918399.9995	1141.0	0	44	4
1410004799.9995	18.0	0	45	5
1410091199.9995	648.0	0	46	6
1410177599.9995	674.0	0	47	0
1410263999.9995	585.0	0	48	1
1410350399.9995	533.0	0	49	2
1410436799.9995	4774.0	0	50	3
1410523199.9995	1186.0	0	51	4
1410609599.9995	3355.0	0	52	5
1410695999.9995	11098.0	0	53	6
1410782399.9995	8153.0	0	54	0
1410868799.9995	218.0	0	55	1
1410955199.9995	16302.0	0	56	2
1411041599.9995	12366.0	0	57	3
1411127999.9995	11607.0	0	58	4
1411214399.9995	238.0	0	59	5
1411387199.9995	10689.0	0	61	0
1411473599.9995	11547.0	0	62	1
1411559999.9995	8682.0	0	63	2
1411646399.9995	6816.0	0	64	3
1411732799.9995	10196.0	0	65	4
1412078399.9995	8818.0	0	69	1
1412164799.9995	13491.0	0	70	2
1412251199.9995	15569.0	0	71	3
1412337599.9995	6285.0	0	72	4
1409054399.9995	6526.0	1	34	1
1409140799.9995	10789.0	1	35	2
1409227199.9995	6438.0	1	36	3
1409313599.9995	8863.0	1	37	4
1409399999.9995	20365.0	1	38	5
1409486399.9995	12341.0	1	39	6
1409572799.9995	12211.0	1	40	0
1409659199.9995	11579.0	1	41	1
1409745599.9995	23076.0	1	42	2
1409831999.9995	6341.0	1	43	3
1410177599.9995	10451.0	1	47	0
1410263999.9995	10652.0	1	48	1
1410350399.9995	6438.0	1	49	2
1410436799.9995	8354.0	1	50	3
1410523199.9995	6205.0	1	51	4
1410782399.9995	14649.0	1	54	0
1410868799.9995	44639.0	1	55	1
1410955199.9995	8559.0	1	56	2
1411041599.9995	5748.0	1	57	3
1411127999.9995	7523.0	1	58	4
1411214399.9995	72.0	1	59	5
1411300799.9995	1385.0	1	60	6
1411387199.9995	7089.0	1	61	0
1411473599.9995	3313.0	1	62	1
1410004799.9995	10.0	2	45	5
1410177599.9995	5968.0	2	47	0
1410263999.9995	6108.0	2	48	1
1410350399.9995	4929.0	2	49	2
1410436799.9995	8562.0	2	50	3
1410523199.9995	6142.0	2	51	4
1410609599.9995	10675.0	2	52	5
1410695999.9995	7741.0	2	53	6
1410782399.9995	6574.0	2	54	0
1410868799.9995	7884.0	2	55	1
1410955199.9995	6.0	2	56	2
1411041599.9995	8571.0	2	57	3
1411127999.9995	6741.0	2	58	4
1411387199.9995	6444.0	2	61	0
1411473599.9995	6130.0	2	62	1
1411559999.9995	7014.0	2	63	2
1411646399.9995	7499.0	2	64	3
1411732799.9995	7687.0	2	65	4
1411991999.9995	7435.0	2	68	0
1412078399.9995	8919.0	2	69	1
1412164799.9995	6133.0	2	70	2
1412251199.9995	8826.0	2	71	3
1412337599.9995	6142.0	2	72	4
1412596799.9995	12435.0	2	75	0
1412683199.9995	3665.0	2	76	1
1409831999.9995	24029.0	3	43	3
1409918399.9995	8800.0	3	44	4
1410004799.9995	32.0	3	45	5
1410177599.9995	10604.0	3	47	0
1410263999.9995	12336.0	3	48	1
1410350399.9995	8817.0	3	49	2
1410436799.9995	3981.0	3	50	3
1410523199.9995	9570.0	3	51	4
1410609599.9995	8602.0	3	52	5
1410955199.9995	109.0	3	56	2
1411041599.9995	3965.0	3	57	3
1411300799.9995	628.0	3	60	6
1411387199.9995	6686.0	3	61	0
1411473599.9995	8052.0	3	62	1
1411559999.9995	6275.0	3	63	2
1411732799.9995	670.0	3	65	4
1411819199.9995	3957.0	3	66	5
1411905599.9995	7764.0	3	67	6
1411991999.9995	1235.0	3	68	0
1412078399.9995	23.0	3	69	1
1412164799.9995	5416.0	3	70	2
1412251199.9995	4318.0	3	71	3
1410263999.9995	8445.0	4	48	1
1410350399.9995	11049.0	4	49	2
1410436799.9995	9134.0	4	50	3
1410523199.9995	11317.0	4	51	4
1410695999.9995	7.0	4	53	6
1410782399.9995	6622.0	4	54	0
1410868799.9995	7877.0	4	55	1
1410955199.9995	9259.0	4	56	2
1411041599.9995	10113.0	4	57	3
1411127999.9995	14799.0	4	58	4
1411300799.9995	2017.0	4	60	6
1411387199.9995	11954.0	4	61	0
1411473599.9995	7537.0	4	62	1
1411559999.9995	10279.0	4	63	2
1411646399.9995	9249.0	4	64	3
1411732799.9995	9965.0	4	65	4
1411819199.9995	10740.0	4	66	5
1411905599.9995	9306.0	4	67	6
1411991999.9995	10924.0	4	68	0
1412078399.9995	8234.0	4	69	1
1412164799.9995	8740.0	4	70	2
1412251199.9995	9357.0	4	71	3
1412337599.9995	10218.0	4	72	4
1412423999.9995	2656.0	4	73	5
1412510399.9995	9807.0	4	74	6
1412596799.9995	6262.0	4	75	0
1412683199.9995	8512.0	4	76	1
1410263999.9995	24149.0	5	48	1
1410350399.9995	10291.0	5	49	2
1410436799.9995	8521.0	5	50	3
1410523199.9995	13090.0	5	51	4
1410609599.9995	11090.0	5	52	5
1410695999.9995	13803.0	5	53	6
1410782399.9995	10894.0	5	54	0
1410868799.9995	12691.0	5	55	1
1410955199.9995	9989.0	5	56	2
1411041599.9995	12963.0	5	57	3
1411127999.9995	18735.0	5	58	4
1411214399.9995	10232.0	5	59	5
1411300799.9995	8278.0	5	60	6
1411387199.9995	5008.0	5	61	0
1411473599.9995	4285.0	5	62	1
1411559999.9995	1609.0	5	63	2
1411646399.9995	759.0	5	64	3
1411732799.9995	3202.0	5	65	4
1411819199.9995	3888.0	5	66	5
1411905599.9995	8422.0	5	67	6
1411991999.9995	11269.0	5	68	0
1412078399.9995	9631.0	5	69	1
1412164799.9995	10845.0	5	70	2
1412251199.9995	11921.0	5	71	3
1412337599.9995	9249.0	5	72	4
1412423999.9995	9566.0	5	73	5
1412510399.9995	391.0	5	74	6
1412596799.9995	13497.0	5	75	0
1412683199.9995	6254.0	5	76	1
1411473599.9995	94.0	6	62	1
1411559999.9995	3945.0	6	63	2
1411646399.9995	3235.0	6	64	3
1411732799.9995	10921.0	6	65	4
1411819199.9995	2045.0	6	66	5
1411991999.9995	9924.0	6	68	0
1412078399.9995	6823.0	6	69	1
1412164799.9995	9058.0	6	70	2
1412251199.9995	11887.0	6	71	3
1412337599.9995	9704.0	6	72	4
1412423999.9995	10338.0	6	73	5
1412510399.9995	5866.0	6	74	6
1412683199.9995	8076.0	6	76	1
1410263999.9995	11395.0	7	48	1
1410350399.9995	9374.0	7	49	2
1410436799.9995	14478.0	7	50	3
1410523199.9995	12198.0	7	51	4
1410782399.9995	5321.0	7	54	0
1410868799.9995	11176.0	7	55	1
1410955199.9995	11199.0	7	56	2
1411041599.9995	17694.0	7	57	3
1411127999.9995	7037.0	7	58	4
1411387199.9995	11839.0	7	61	0
1411559999.9995	9298.0	7	63	2
1411646399.9995	7276.0	7	64	3
1411732799.9995	11778.0	7	65	4
1411991999.9995	10460.0	7	68	0
1412078399.9995	11956.0	7	69	1
1412164799.9995	11239.0	7	70	2
1412251199.9995	13308.0	7	71	3
1412596799.9995	12228.0	7	75	0
1412683199.9995	10585.0	7	76	1
1406548799.9995	6107.0	8	5	0
1406635199.9995	10060.0	8	6	1
1407326399.9995	6127.0	8	14	2
1407412799.9995	8282.0	8	15	3
1411646399.9995	8027.0	8	64	3
1411732799.9995	8953.0	8	65	4
1411819199.9995	6157.0	8	66	5
1411905599.9995	3826.0	8	67	6
1411991999.9995	5928.0	8	68	0
1412078399.9995	7250.0	8	69	1
1412164799.9995	7380.0	8	70	2
1412251199.9995	6601.0	8	71	3
1412337599.9995	857.0	8	72	4
1410263999.9995	15432.0	9	48	1
1410350399.9995	6962.0	9	49	2
1410436799.9995	13622.0	9	50	3
1410523199.9995	9591.0	9	51	4
1410782399.9995	14825.0	9	54	0
1410868799.9995	15438.0	9	55	1
1410955199.9995	10789.0	9	56	2
1411127999.9995	1618.0	9	58	4
1411214399.9995	10762.0	9	59	5
1411300799.9995	15745.0	9	60	6
1411387199.9995	7463.0	9	61	0
1411559999.9995	6766.0	9	63	2
1411646399.9995	14323.0	9	64	3
1411732799.9995	7468.0	9	65	4
1411819199.9995	454.0	9	66	5
1411905599.9995	7.0	9	67	6
1412078399.9995	963.0	9	69	1
1412164799.9995	926.0	9	70	2
1412510399.9995	8.0	9	74	6
1412596799.9995	12770.0	9	75	0
1410177599.9995	2227.0	10	47	0
1410263999.9995	7.0	10	48	1
1410350399.9995	12232.0	10	49	2
1410436799.9995	10072.0	10	50	3
1410523199.9995	9161.0	10	51	4
1410695999.9995	17891.0	10	53	6
1410782399.9995	12947.0	10	54	0
1410868799.9995	16324.0	10	55	1
1410955199.9995	9095.0	10	56	2
1411041599.9995	14893.0	10	57	3
1411127999.9995	10627.0	10	58	4
1411214399.9995	14.0	10	59	5
1411300799.9995	758.0	10	60	6
1411387199.9995	9427.0	10	61	0
1411473599.9995	12156.0	10	62	1
1411559999.9995	14294.0	10	63	2
1411646399.9995	9777.0	10	64	3
1411732799.9995	10715.0	10	65	4
1411991999.9995	9976.0	10	68	0
1412078399.9995	9413.0	10	69	1
1412164799.9995	9535.0	10	70	2
1412251199.9995	9381.0	10	71	3
1412337599.9995	9524.0	10	72	4
1412596799.9995	13052.0	10	75	0
1412683199.9995	9029.0	10	76	1
1410263999.9995	14287.0	11	48	1
1410350399.9995	18400.0	11	49	2
1410436799.9995	15006.0	11	50	3
1410523199.9995	14747.0	11	51	4
1410609599.9995	12799.0	11	52	5
1410695999.9995	16556.0	11	53	6
1410782399.9995	12742.0	11	54	0
1410868799.9995	30525.0	11	55	1
1410955199.9995	25293.0	11	56	2
1411041599.9995	22544.0	11	57	3
1411127999.9995	25188.0	11	58	4
1411214399.9995	27072.0	11	59	5
1411300799.9995	12783.0	11	60	6
1411387199.9995	12791.0	11	61	0
1411473599.9995	17260.0	11	62	1
1411646399.9995	48.0	11	64	3
1411732799.9995	12155.0	11	65	4
1411819199.9995	17594.0	11	66	5
1411905599.9995	19337.0	11	67	6
1411991999.9995	16400.0	11	68	0
1412078399.9995	15251.0	11	69	1
1412164799.9995	13647.0	11	70	2
1412251199.9995	15257.0	11	71	3
1412337599.9995	18035.0	11	72	4
1412423999.9995	20845.0	11	73	5
1412510399.9995	22817.0	11	74	6
1412596799.9995	6806.0	11	75	0
1408967999.9995	5451.0	12	33	0
1409054399.9995	4522.0	12	34	1
1409140799.9995	8294.0	12	35	2
1409227199.9995	7578.0	12	36	3
1409572799.9995	4996.0	12	40	0
1409659199.9995	3114.0	12	41	1
1409745599.9995	2211.0	12	42	2
1410177599.9995	12260.0	12	47	0
1410263999.9995	3995.0	12	48	1
1410350399.9995	4685.0	12	49	2
1410436799.9995	3253.0	12	50	3
1410523199.9995	5031.0	12	51	4
1410782399.9995	12588.0	12	54	0
1410868799.9995	4547.0	12	55	1
1410955199.9995	4607.0	12	56	2
1411127999.9995	6631.0	12	58	4
1411214399.9995	5007.0	12	59	5
1411300799.9995	2997.0	12	60	6
1411387199.9995	3110.0	12	61	0
1411473599.9995	3813.0	12	62	1
